image_path,class,predict,Mild_Demented,Moderate_Demented,Non_Demented,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_221_verymild_417.jpg,Very_Mild_Demented,Very_Mild_Demented,0.37945542,0.0694999,8.972406e-06,0.55103576
Benchmark\Mild_Demented\mild_208.jpg,Mild_Demented,Very_Mild_Demented,0.38725552,0.030050047,0.12465676,0.45803767
Benchmark\Non_Demented\non_2485.jpg,Non_Demented,Very_Mild_Demented,0.26737982,0.0002882071,0.25280237,0.47952962
Benchmark\Mild_Demented\augmented_36_mild_684.jpg,Mild_Demented,Moderate_Demented,0.22673807,0.72280824,1.264253e-07,0.05045358
Benchmark\Very_Mild_Demented\augmented_134_verymild_2230.jpg,Very_Mild_Demented,Very_Mild_Demented,0.3464183,0.27794155,4.850477e-05,0.37559164
Benchmark\Mild_Demented\augmented_237_mild_564.jpg,Mild_Demented,Moderate_Demented,0.3491263,0.40868193,1.4018167e-05,0.24217774
Benchmark\Non_Demented\non_2704.jpg,Non_Demented,Non_Demented,0.037254144,0.0017060417,0.5639119,0.39712793
Benchmark\Mild_Demented\augmented_207_mild_74.jpg,Mild_Demented,Mild_Demented,0.7151066,0.076853275,3.4741818e-06,0.20803659
Benchmark\Very_Mild_Demented\verymild_1295.jpg,Very_Mild_Demented,Very_Mild_Demented,0.3055022,0.04942829,0.31370074,0.3313687
Benchmark\Moderate_Demented\augmented_96_moderate_13.jpg,Moderate_Demented,Mild_Demented,0.51708055,0.3165612,2.71292e-06,0.16635558
Benchmark\Mild_Demented\augmented_45_mild_431.jpg,Mild_Demented,Moderate_Demented,0.2961967,0.5393981,8.993595e-06,0.16439624
Benchmark\Mild_Demented\mild_604.jpg,Mild_Demented,Mild_Demented,0.7504685,0.06366221,0.048701387,0.1371678
Benchmark\Moderate_Demented\augmented_258_moderate_2.jpg,Moderate_Demented,Moderate_Demented,0.14442013,0.7638286,9.469128e-07,0.091750406
Benchmark\Very_Mild_Demented\augmented_146_verymild_1661.jpg,Very_Mild_Demented,Mild_Demented,0.7287447,0.081715316,5.6590193e-06,0.1895343
Benchmark\Moderate_Demented\augmented_118_moderate_16.jpg,Moderate_Demented,Moderate_Demented,0.21480125,0.6209968,6.977138e-06,0.16419494
Benchmark\Very_Mild_Demented\verymild_1467.jpg,Very_Mild_Demented,Very_Mild_Demented,0.07260909,0.02576647,0.37779105,0.5238334
Benchmark\Very_Mild_Demented\verymild_218.jpg,Very_Mild_Demented,Non_Demented,0.011358444,1.9463441e-06,0.6098084,0.37883124
Benchmark\Very_Mild_Demented\verymild_132.jpg,Very_Mild_Demented,Very_Mild_Demented,0.1371451,0.0008339537,0.28348038,0.57854056
Benchmark\Moderate_Demented\augmented_45_moderate_53.jpg,Moderate_Demented,Moderate_Demented,0.11111068,0.87688464,9.0172686e-10,0.012004776
Benchmark\Non_Demented\non_2787.jpg,Non_Demented,Non_Demented,0.010938526,2.5549876e-05,0.65352756,0.3355083
Benchmark\Moderate_Demented\augmented_257_moderate_17.jpg,Moderate_Demented,Moderate_Demented,0.27621138,0.6558104,7.1439104e-07,0.067977495
Benchmark\Non_Demented\non_3043.jpg,Non_Demented,Very_Mild_Demented,0.20383643,6.593292e-05,0.2523566,0.54374105
Benchmark\Moderate_Demented\augmented_7_moderate_4.jpg,Moderate_Demented,Moderate_Demented,0.13371319,0.7058387,0.0008286367,0.15961953
Benchmark\Non_Demented\non_2707.jpg,Non_Demented,Very_Mild_Demented,0.34469986,0.0007051649,0.3090664,0.34552854
Benchmark\Non_Demented\non_1309.jpg,Non_Demented,Very_Mild_Demented,0.063786246,0.010087715,0.4404869,0.48563913
Benchmark\Mild_Demented\mild_711.jpg,Mild_Demented,Non_Demented,0.10330393,4.830079e-05,0.5127397,0.38390803
Benchmark\Moderate_Demented\augmented_110_moderate_28.jpg,Moderate_Demented,Moderate_Demented,0.27935073,0.54743725,1.1690717e-06,0.17321089
Benchmark\Mild_Demented\augmented_123_mild_789.jpg,Mild_Demented,Mild_Demented,0.5067122,0.073000394,0.0009079409,0.4193794
Benchmark\Very_Mild_Demented\verymild_320.jpg,Very_Mild_Demented,Non_Demented,0.0006582039,8.68766e-11,0.8991238,0.10021799
Benchmark\Moderate_Demented\augmented_245_moderate_9.jpg,Moderate_Demented,Moderate_Demented,0.16416416,0.814265,8.5130525e-09,0.02157083
Benchmark\Non_Demented\non_2946.jpg,Non_Demented,Non_Demented,2.3597831e-06,8.151596e-23,0.9995964,0.00040123888
Benchmark\Moderate_Demented\augmented_4_moderate_27.jpg,Moderate_Demented,Moderate_Demented,0.34017086,0.5631664,8.1378574e-05,0.09658132
Benchmark\Mild_Demented\augmented_86_mild_299.jpg,Mild_Demented,Mild_Demented,0.42813227,0.31254637,6.378835e-07,0.25932077
Benchmark\Mild_Demented\augmented_228_mild_286.jpg,Mild_Demented,Mild_Demented,0.60646856,0.029200373,5.8241603e-06,0.3643252
Benchmark\Non_Demented\non_194.jpg,Non_Demented,Very_Mild_Demented,0.13217446,0.0029890018,0.34152198,0.52331454
